date,category,description,amount
2026-08-01,교통비,지하철,5000
2026-08-01,주거,월세 지출,1100000
2026-08-02,교통비,지하철,5000
2026-08-02,식비,점심값,50000
2026-08-03,교통비,지하철,5000
2026-08-04,교통비,지하철,5000
2026-08-05,교통비,지하철,5000
2026-08-05,식비,점심 파스타,30000
2026-08-05,식비,저녁 삼겹살,80000
2026-08-06,교통비,지하철,5000
2026-08-06,식비,편의점 간식,6000
2026-08-07,교통비,지하철,5000
2026-08-07,통신비,휴대폰 요금,55000
2026-08-08,교통비,지하철,5000
2026-08-08,식비,회사 점심,10000
2026-08-09,식비,주말 장보기,65000
2026-08-09,문화,영화 관람,14000
2026-08-10,교통비,지하철,5000
2026-08-11,교통비,지하철,5000
2026-08-11,식비,커피 및 빵,12000
2026-08-12,교통비,지하철,5000
2026-08-13,교통비,지하철,5000
2026-08-14,교통비,지하철,5000
2026-08-14,식비,팀 회식비 분담,35000
2026-08-15,교통비,버스,3000
2026-08-15,식비,광복절 외식,45000
2026-08-16,식비,배달 피자,28000
2026-08-17,교통비,지하철,5000
2026-08-18,교통비,지하철,5000
2026-08-18,쇼핑,여름 옷 구매,45000
2026-08-19,교통비,지하철,5000
2026-08-20,교통비,지하철,5000
2026-08-20,식비,카페 라떼,5000
2026-08-21,교통비,지하철,5000
2026-08-22,교통비,지하철,5000
2026-08-22,생활,생필품 구입,22000
2026-08-23,식비,마트 장보기,54000
2026-08-24,교통비,지하철,5000
2026-08-25,교통비,지하철,5000
2026-08-25,식비,점심 백반,9000
2026-08-26,교통비,지하철,5000
2026-08-27,교통비,지하철,5000
2026-08-27,의료,약국 약 구입,8000
2026-08-28,교통비,지하철,5000
2026-08-29,교통비,지하철,5000
2026-08-29,식비,불금 치킨,23000
2026-08-30,식비,브런치 카페,18000
2026-08-31,교통비,지하철,5000
2026-08-31,생활,관리비,150000
2026-09-01,교통비,지하철,5000
